"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (BGN/MWh)","Intraday Period (CET/CEST)","Intraday Price (BGN/MWh)"
"11/01/2018 13:00:00 - 11/01/2018 14:00:00","BZN|BG","Without Sequence","95.07","",""
"11/01/2018 14:00:00 - 11/01/2018 15:00:00","BZN|BG","Without Sequence","95.07","",""
"11/01/2018 15:00:00 - 11/01/2018 16:00:00","BZN|BG","Without Sequence","95.07","",""
"11/01/2018 16:00:00 - 11/01/2018 17:00:00","BZN|BG","Without Sequence","95.03","",""
"11/01/2018 17:00:00 - 11/01/2018 18:00:00","BZN|BG","Without Sequence","94.27","",""
"11/01/2018 18:00:00 - 11/01/2018 19:00:00","BZN|BG","Without Sequence","94.29","",""
"11/01/2018 19:00:00 - 11/01/2018 20:00:00","BZN|BG","Without Sequence","80.03","",""
"11/01/2018 20:00:00 - 11/01/2018 21:00:00","BZN|BG","Without Sequence","75.10","",""
"11/01/2018 21:00:00 - 11/01/2018 22:00:00","BZN|BG","Without Sequence","66.71","",""
"11/01/2018 22:00:00 - 11/01/2018 23:00:00","BZN|BG","Without Sequence","75.05","",""
"11/01/2018 23:00:00 - 12/01/2018 00:00:00","BZN|BG","Without Sequence","64.52","",""
"12/01/2018 00:00:00 - 12/01/2018 01:00:00","BZN|BG","Without Sequence","53.55","",""
"12/01/2018 01:00:00 - 12/01/2018 02:00:00","BZN|BG","Without Sequence","44.34","",""
"12/01/2018 02:00:00 - 12/01/2018 03:00:00","BZN|BG","Without Sequence","44.08","",""
"12/01/2018 03:00:00 - 12/01/2018 04:00:00","BZN|BG","Without Sequence","44.10","",""
"12/01/2018 04:00:00 - 12/01/2018 05:00:00","BZN|BG","Without Sequence","56.60","",""
"12/01/2018 05:00:00 - 12/01/2018 06:00:00","BZN|BG","Without Sequence","65.31","",""
"12/01/2018 06:00:00 - 12/01/2018 07:00:00","BZN|BG","Without Sequence","79.93","",""
"12/01/2018 07:00:00 - 12/01/2018 08:00:00","BZN|BG","Without Sequence","124.04","",""
"12/01/2018 08:00:00 - 12/01/2018 09:00:00","BZN|BG","Without Sequence","202.76","",""
"12/01/2018 09:00:00 - 12/01/2018 10:00:00","BZN|BG","Without Sequence","144.61","",""
"12/01/2018 10:00:00 - 12/01/2018 11:00:00","BZN|BG","Without Sequence","125.54","",""
